threshold,precision,recall,f1,f2
0.35,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.36,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.37,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.38,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.39,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.4,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.41000000000000003,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.42000000000000004,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.43000000000000005,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.44000000000000006,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.45000000000000007,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.4600000000000001,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.4700000000000001,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.4800000000000001,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.4900000000000001,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.5000000000000001,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.5100000000000001,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.5200000000000001,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.5300000000000001,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.5400000000000001,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.5500000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.5600000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.5700000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.5800000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.5900000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.6000000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.6100000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.6200000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.6300000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.6400000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.6500000000000002,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.6600000000000003,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.6700000000000003,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.6800000000000003,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.6900000000000003,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.7000000000000003,0.875,0.6363636363636364,0.7368421052631579,0.6730769230769231
0.7100000000000003,1.0,0.6363636363636364,0.7777777777777778,0.6862745098039216
0.7200000000000003,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7300000000000003,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7400000000000003,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7500000000000003,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7600000000000003,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7700000000000004,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7800000000000004,1.0,0.5454545454545454,0.7058823529411765,0.6
0.7900000000000004,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8000000000000004,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8100000000000004,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8200000000000004,1.0,0.5454545454545454,0.7058823529411765,0.6
0.8300000000000004,1.0,0.45454545454545453,0.625,0.5102040816326531
0.8400000000000004,1.0,0.45454545454545453,0.625,0.5102040816326531
0.8500000000000004,1.0,0.45454545454545453,0.625,0.5102040816326531
0.8600000000000004,1.0,0.45454545454545453,0.625,0.5102040816326531
0.8700000000000004,1.0,0.45454545454545453,0.625,0.5102040816326531
0.8800000000000004,1.0,0.45454545454545453,0.625,0.5102040816326531
0.8900000000000005,1.0,0.45454545454545453,0.625,0.5102040816326531
0.9000000000000005,1.0,0.45454545454545453,0.625,0.5102040816326531
0.9100000000000005,1.0,0.45454545454545453,0.625,0.5102040816326531
0.9200000000000005,1.0,0.45454545454545453,0.625,0.5102040816326531
0.9300000000000005,1.0,0.45454545454545453,0.625,0.5102040816326531
0.9400000000000005,1.0,0.45454545454545453,0.625,0.5102040816326531
0.9500000000000005,1.0,0.45454545454545453,0.625,0.5102040816326531
